scenario,component,current_law,plan_2146,change
"Married, no children · 100% + 33% AW",Earned income tax credit,0.0,0.0,0.0
"Married, no children · 100% + 33% AW",Health-insurance credit,0.0,6500.0,6500.0
"Married, no children · 100% + 33% AW",Net federal tax before health credit,21133.5288,21645.00847854015,511.4796785401486
"Married, no children · 100% + 33% AW",Net federal tax after health credit,21133.5288,15145.008478540149,-5988.520321459851
"Married, no children · 100% + 33% AW",Gross annual health premium,18603.369439438327,15334.998782299132,-3268.370657139196
"Married, no children · 100% + 33% AW",Household-paid premium net of health credit,4776,8834.998782299132,4058.9987822991316
"Married, no children · 100% + 33% AW",OECD labour-cost denominator,104896.52840000001,116918.40195322511,12021.873553225101
"Married, no children · 100% + 33% AW",Comprehensive employer labour cost,118723.89783943833,116918.40195322511,-1805.495886213219
"Married, no children · 100% + 33% AW",OECD-style federal tax wedge,0.20147024045840584,0.1295348570073608,-0.07193538345104503
"Married, no children · 100% + 33% AW",Full-compensation federal tax wedge,0.1780056853303527,0.1295348570073608,-0.04847082832299188
"Married, no children · 100% + 33% AW",Spendable cash after federal tax and insurance,78986.9996,86438.39469238583,7451.395092385836
"Married, no children · 100% + 33% AW",Spendable-cash wedge on comprehensive cost,0.33470008113428296,0.2606946960584806,-0.07400538507580234
"Married, 2 children · 100% + 67% AW",Original gross cash wage,122778.4,122778.4,0.0
"Married, 2 children · 100% + 67% AW",Employer Social Security contribution,7158.792799999999,0.0,-7158.792799999999
"Married, 2 children · 100% + 67% AW",Employer Medicare contribution,1674.2338,0.0,-1674.2338
"Married, 2 children · 100% + 67% AW","Employer social-insurance contribution, total",8833.0266,0.0,-8833.0266
"Married, 2 children · 100% + 67% AW",Employer health-insurance contribution,19981.997421548702,0.0,-19981.997421548702
"Married, 2 children · 100% + 67% AW",Employer social-insurance cashout into wages,0.0,8833.0266,8833.0266
"Married, 2 children · 100% + 67% AW",Employer health-pool cashout into wages,0.0,12021.8735532251,12021.8735532251
"Married, 2 children · 100% + 67% AW",Gross cash wage after cashouts,122778.4,143633.3001532251,20854.900153225113
"Married, 2 children · 100% + 67% AW",Taxable cash wage,115464.4,143633.3001532251,28168.900153225113
"Married, 2 children · 100% + 67% AW",Individual/wage tax before credits,9598.728,35190.15853754015,25591.43053754015
"Married, 2 children · 100% + 67% AW",Employee Social Security contribution,7158.792799999999,0.0,-7158.792799999999
"Married, 2 children · 100% + 67% AW",Employee Medicare contribution,1674.2338,0.0,-1674.2338
"Married, 2 children · 100% + 67% AW",Additional employee Medicare tax,0.0,0.0,0.0
"Married, 2 children · 100% + 67% AW",Pre-credit federal tax and social contributions,27264.781199999998,35190.15853754015,7925.377337540151
"Married, 2 children · 100% + 67% AW",Nonrefundable child tax credit,4400.0,0.0,-4400.0
"Married, 2 children · 100% + 67% AW",Nonrefundable adult credit,0.0,6000.0,6000.0
"Married, 2 children · 100% + 67% AW",Refundable child credit,0.0,4000.0,4000.0
"Married, 2 children · 100% + 67% AW",Refundable adult wage credit,0.0,1000.0,1000.0
"Married, 2 children · 100% + 67% AW",Earned income tax credit,0.0,0.0,0.0
"Married, 2 children · 100% + 67% AW",Health-insurance credit,0.0,9000.0,9000.0
"Married, 2 children · 100% + 67% AW",Net federal tax before health credit,22864.781199999998,24190.15853754015,1325.3773375401506
"Married, 2 children · 100% + 67% AW",Net federal tax after health credit,22864.781199999998,15190.158537540148,-7674.622662459849
"Married, 2 children · 100% + 67% AW",Gross annual health premium,27295.997421548702,20816.700868419397,-6479.296553129305
"Married, 2 children · 100% + 67% AW",Household-paid premium net of health credit,7314,11816.700868419397,4502.700868419397
"Married, 2 children · 100% + 67% AW",OECD labour-cost denominator,131611.4266,143633.3001532251,12021.873553225101
"Married, 2 children · 100% + 67% AW",Comprehensive employer labour cost,151593.4240215487,143633.3001532251,-7960.123868323601
"Married, 2 children · 100% + 67% AW",OECD-style federal tax wedge,0.17372945336647538,0.10575652387945966,-0.06797292948701572
"Married, 2 children · 100% + 67% AW",Full-compensation federal tax wedge,0.15082963754911832,0.10575652387945966,-0.04507311366965866
"Married, 2 children · 100% + 67% AW",Spendable cash after federal tax and insurance,101432.6454,107626.44074726556,6193.7953472655645
"Married, 2 children · 100% + 67% AW",Spendable-cash wedge on comprehensive cost,0.33089020150648785,0.2506860133934691,-0.08020418811301877
